SamplePoint_ID SamplePointX SamplePointY SamplePointZ ColorR ColorG ColorB ColorA
PT_0153 -3.1930 0.1020 -0.9610 0.1691 0.0000 0.8309 1.0000
PT_0154 -3.1930 0.1020 -1.2890 0.2122 0.0000 0.7878 1.0000
PT_0155 -3.1930 0.1020 -1.6180 0.1728 0.0000 0.8272 1.0000
PT_0156 -3.1930 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0157 -3.1930 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0158 -3.1930 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0159 -3.1930 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0160 -3.5170 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0161 -3.5170 0.1020 -0.6330 0.0005 0.0000 0.9995 1.0000
PT_0162 -3.5170 0.1020 -0.9610 0.1142 0.0000 0.8858 1.0000
PT_0163 -3.5170 0.1020 -1.2890 0.1556 0.0000 0.8444 1.0000
PT_0164 -3.5170 0.1020 -1.6180 0.1178 0.0000 0.8822 1.0000
PT_0165 -3.5170 0.1020 -1.9460 0.0773 0.0000 0.9227 1.0000
PT_0166 -3.5170 0.1020 -2.2740 0.2268 0.0000 0.7732 1.0000
PT_0167 -3.5170 0.1020 -2.6030 0.3028 0.0000 0.6972 1.0000
PT_0168 -3.5170 0.1020 -2.9310 0.2911 0.0000 0.7089 1.0000
PT_0169 -3.5170 0.1020 -3.2590 0.1943 0.0000 0.8057 1.0000
PT_0170 -3.5170 0.1020 -3.5880 0.0286 0.0000 0.9714 1.0000
PT_0171 -3.5170 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0172 -3.5170 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0173 -3.5170 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0174 -3.5170 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0175 -3.5170 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0176 -3.5170 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0177 -3.5170 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0178 -3.5170 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0179 -3.5170 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0180 -3.5170 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0181 -3.5170 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0182 -3.5170 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0183 -3.5170 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0184 -3.5170 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0185 -3.5170 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0186 -3.5170 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0187 -3.5170 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0188 -3.5170 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0189 -3.5170 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0190 -3.5170 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0191 -3.8400 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0192 -3.8400 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0193 -3.8400 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0194 -3.8400 0.1020 -1.2890 0.0286 0.0000 0.9714 1.0000
PT_0195 -3.8400 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0196 -3.8400 0.1020 -1.9460 0.0806 0.0000 0.9194 1.0000
PT_0197 -3.8400 0.1020 -2.2740 0.2304 0.0000 0.7696 1.0000
PT_0198 -3.8400 0.1020 -2.6030 0.3067 0.0000 0.6933 1.0000
PT_0199 -3.8400 0.1020 -2.9310 0.2950 0.0000 0.7050 1.0000
PT_0200 -3.8400 0.1020 -3.2590 0.1979 0.0000 0.8021 1.0000
PT_0201 -3.8400 0.1020 -3.5880 0.0317 0.0000 0.9683 1.0000
PT_0202 -3.8400 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0203 -3.8400 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0204 -3.8400 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0205 -3.8400 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0206 -3.8400 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0207 -3.8400 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0208 -3.8400 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0209 -3.8400 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0210 -3.8400 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0211 -3.8400 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0212 -3.8400 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0213 -3.8400 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0214 -3.8400 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0215 -3.8400 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0216 -3.8400 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0217 -3.8400 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0218 -3.8400 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0219 -3.8400 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0220 -3.8400 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0221 -3.8400 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0222 -4.1640 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0223 -4.1640 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0224 -4.1640 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0225 -4.1640 0.1020 -1.2890 0.0000 0.0000 1.0000 1.0000
PT_0226 -4.1640 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0227 -4.1640 0.1020 -1.9460 0.0118 0.0000 0.9882 1.0000
PT_0228 -4.1640 0.1020 -2.2740 0.1539 0.0000 0.8461 1.0000
PT_0229 -4.1640 0.1020 -2.6030 0.2256 0.0000 0.7744 1.0000
PT_0230 -4.1640 0.1020 -2.9310 0.2146 0.0000 0.7854 1.0000
PT_0231 -4.1640 0.1020 -3.2590 0.1231 0.0000 0.8769 1.0000
PT_0232 -4.1640 0.1020 -3.5880 0.0000 0.0000 1.0000 1.0000
PT_0233 -4.1640 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0234 -4.1640 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0235 -4.1640 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0236 -4.1640 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0237 -4.1640 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0238 -4.1640 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0239 -4.1640 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0240 -4.1640 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0241 -4.1640 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0242 -4.1640 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0243 -4.1640 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0244 -4.1640 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0245 -4.1640 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0246 -4.1640 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0247 -4.1640 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0248 -4.1640 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0249 -4.1640 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0250 -4.1640 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0251 -4.1640 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
